category,description,id,parkCode,title,url
Park Closure,"Following guidance from the CDC and recommendations from state and local public health in consultation with NPS Public Health Service officers, the park visitor center is temporarily closed. Restrooms within visitor center are closed at this time.",52BCEDA8-BE60-8C17-B5DA1594182CABA5,knri,Park Visitor Center is temporarily closed as of March 18th: Restrooms Closed,
Park Closure,Vaulted toilets are available at the Awatixa/Village and Two River trailhead parking areas.,0CB39B97-D464-28BA-AC83D149479F3138,knri,Visitor Center restrooms are closed due to maintenance issue,
Information,The Reconstructed Earthlodge and a ranger-staffed outdoor information station are open from 10 am-12 pm and 1 pm - 3 pm CST daily (weather permitting).,9A33FAFB-0CEC-0CA3-973EC1D5BD36CAFC,knri,Earthlodge and Outdoor information Station,
Park Closure,"As a public health precaution, the Northwest Arctic Heritage Center is temporarily closed for the safety of staff and visitors as of March 16th. Updates will be posted to the park website and social media channels.",B77881CA-C147-1C2B-51D071ADA8C51CF6,kova,Northwest Arctic Heritage Center Closed,
Information,"While the Visitor Center is closed, please Do Not bring clothing or caving gear used in caves or mines outside of Lava Beds into our caves. This will help slow the spread of white-nose syndrome, a bat disease that is killing bats outside of the park.",B2B250DB-1DD8-B71B-0BF2E41F79C2DBF2,labe,White-Nose Syndrome / Cave Permit,https://www.nps.gov/labe/learn/nature/wns.htm
Park Closure,"Following guidance from the CDC & CA Dept. of Health the following are closed: the Campground. The visitor center is open for limited hours. Cave Loop Road, most of the caves, trails and all the restrooms throughout the park are open.",867E41ED-C260-8D12-D14F6D90074FC215,labe,"Lava Beds Temporary Closures as of June 1, 2020",https://www.nps.gov/labe/planyourvisit/conditions.htm
Information,"Due to the COVID-19 outbreak & to protect local communities & staff, this facility is closed until further notice. Staff are working. Please call (907) 781-2218 for an employee to return your call. Or email LACL_Visitor_Information@nps.gov",6FDB69A1-0D66-EDFC-3574BE9BB4938DC2,lacl,Park Headquarters in Port Alsworth is closed,
Information,"Information, health mandates, and advisories for anyone traveling to Alaska from the Lower 48 and international destinations are available on the State of Alaska website: https://covid19.alaska.gov/travelers/",6EC19CC1-EDDD-8343-378ADD7037BBE28E,lacl,COVID-19 Traveler Information,https://covid19.alaska.gov/travelers/
Caution,The State of Alaska has issued statewide mandates in response to the COVID-19 pandemic that may apply to your visit. Those mandates are updated regularly as the situation changes.  Park visitors should check current State of Alaska guidance.,9DD8622F-A84C-F513-92CF41339BA57A10,lacl,State of Alaska Travel Restrictions Are In Place,https://covid19.alaska.gov/health-mandates/
Park Closure,"Due to the COVID-19 outbreak, the Richard Proenneke Historic Cabin is closed. The Hope Creek campsite and the outdoor areas at the Richard Proenneke cabin site are open. Dick Proenneke’s cabin will remain closed this summer.",C22219EC-9393-DE80-1C081E15AC03EF66,lacl,Richard Proenneke Historic Cabin closed,
Park Closure,"In response to the COVID-19 outbreak, an unstaffed outdoor visitor center is available in Port Alsworth. Park information, exhibits, & self-checkout of bear resistant food containers are available seven days a week. You can contact rangers at 907-781-2218",C123C79F-FB29-0125-059CD587891B73EB,lacl,Unstaffed Outdoor Visitor Center Open to the Public,
Caution,In anticipation of the impacts of COVID-19 on Alaska’s wildland firefighting resources this summer the Alaska Division of Forestry will be actively updating burn restrictions throughout the state. Check their website for the most recent information.,C87A9B47-CEA2-65B4-035F1EE5B98E34E0,lacl,Check State of Alaska Burn Restrictions Before Travel,https://dnr.alaska.gov/burn
Information,Get the most current launch ramp and water elevation conditions,9331A919-B896-1581-33FDE290396EC41B,lake,Launch Ramp Conditions,https://www.nps.gov/lake/learn/news/lakeconditions.htm
Information,The Katherine Landing Fishing Pier is temporarily closed due to a mechanical failure. We will work to repair it as quickly as possible. We apologize for the inconvenience.,A4714A24-94EF-A8CA-3BEE67C2769BD758,lake,Katherine Landing Fishing Pier is Temporarily Closed,
Information,"A pavement preservation project has begun to improve roads. The project will include cleaning, patching, resurfacing and re-marking roads and parking areas in the southern area of the park.",78EE23EF-D671-560A-B79A612E43C43857,lake,Road Construction May Cause Delays,
Information,Seasonal fire restrictions are now in place at Lake Mead National Recreation Area. The restrictions are necessary to prevent wildfire during this period of extended drought and increased potential for wildland fires in Arizona and Nevada.,00608DA8-E0E2-72DF-24A86F57D8ABBA9B,lake,2020 Fire Restrictions,https://www.nps.gov/lake/learn/news/2020-fire-restrictions.htm
Park Closure,"Updated June 12: The park has implemented modifications to operations to support federal, state and local efforts to slow the spread of COVID-19.",20EA3D50-9C64-AE7B-64011036F22DDDDC,lake,What's Open and What's Closed,https://www.nps.gov/lake/planyourvisit/temporary-operational-adjustments.htm
Caution,"Multiple trails are closed through Sept. 30, 2020 in the interest of public and employee safety.",3808A8B1-FDFB-23B5-D1E293707C83F7A8,lake,Seasonal Trail Closures,https://www.nps.gov/lake/learn/news/lone-palm-trail-temporary-closed.htm
Information,"Currently, staff members are working to update this website. If you have any questions, contact park headquarters at 806-857-3151.",39D31B6A-F14C-ED73-D96F4926041D3CCE,lamr,This Website is Being Updated,
Park Closure,"As of Wednesday March 25th, 2020 Alibates Flint Quarries will be closed to support federal, state, and local efforts to slow the spread of the novel coronavirus (COVID -19).",B9A008AB-B76C-5D85-5AEF9A98DC346FE4,lamr,Alibates Flint Quarries Visitor Center is Closed,
Information,"In an on-going effort to prevent aquatic invasive species, all boaters will be required to complete the aquatic invasive species (AIS) quagga/zebra mussel-free self-certification form beginning May 1st, 2020.",3C9073F8-1DD8-B71B-0B4C079947F24819,laro,AIS Self-Certification Forms Mandatory at Beginning May 1st,https://www.nps.gov/laro/learn/news/mussel-free-self-certification-forms-mandatory-at-lake-roosevelt-national-recreation-area-beginning-may-1st.htm
Caution,"Due to undercutting action of Hawk Creek on the access road between the Hawk Creek campground and boat launch, the road will be reduced to one lane until further notice.",21757CFC-C3A1-3CF5-5DB34EAC64F97993,laro,Hawk Creek Lane Restriction at Lake Roosevelt National Recreation Area,https://www.nps.gov/laro/learn/news/hawk-creek-lane-restriction.htm
Caution,"The Washington Department of Fish and Wildlife (WDFW) recently announced a harvest fishery for white sturgeon, starting June 15. Please follow Lake Roosevelt NRA and WDFW rules.",0267DCC0-E996-3A4B-6CBE9D645B0F5C0C,laro,Remember Lake Roosevelt National Recreation Area Rules During June 15 Sturgeon Fishery Opening,https://www.nps.gov/laro/learn/news/remember-lake-roosevelt-nra-rules-during-june-15-sturgeon-fishery-opening.htm
Information,You now have the option to pay by credit card through your smart phone at all National Park Service operated campgrounds and boat launches at Lake Roosevelt National Recreation Area.,0852EED1-9B28-61E4-C6822F3C83CBF3B8,laro,Pay by Credit Card Option Now Available,https://www.nps.gov/laro/learn/news/pay-by-credit-card-option-now-available-for-lake-roosevelt-national-recreation-area-campsite-fees-and-boat-launch-permits.htm
Park Closure,"Due to the current COVID-19, some Lake Roosevelt facilities are temporarily closed. Updates will be posted to the park website and social media.",5B76E3D5-A745-C099-B0D8AC50A587BE5C,laro,Lake Roosevelt facilities are temporarily closed - Updated 06/22/2020,https://www.nps.gov/laro/learn/news/lake-roosevelt-national-recreation-area-increasing-limited-camping-access.htm
Caution,The fish cleaning station and adjacent restroom facility located at the Fort Spokane boat launch is closed until further notice. Maintenance is currently working on locating and repairing the issue and will reopen the facilities as soon as possible.,D3910D4C-CC3F-3C76-CD0A9E0EF0DED2DE,laro,Temporary Fish Cleaning Station and Restroom Closure at Fort Spokane,
Information,"Before you travel, check the status of services and facilities that may be modified due to ongoing COVID-19 response.",7293A3CF-A016-93BE-4E3206C55E0CAE5B,lavo,Check for Modifications to Services & Facilities,https://www.nps.gov/lavo/planyourvisit/conditions.htm
Park Closure,The Bumpass Hell Trail remains under seasonal closure due to snow hazards. There is no scheduled opening date. Follow the link to view alternatives.,72A443C8-9504-AE2F-1D3698588E4E6410,lavo,Bumpass Hell Trail Closed,https://www.nps.gov/lavo/planyourvisit/hiking_bumpass_hell.htm
Information,The NPS is closely monitoring the situation related to the novel (new) coronavirus (COVID-19). Visitors can be assured that national parks continue to maintain high standards related to the health and wellness of of staff and visitors.,1D40EBB0-BC92-B91E-88D0A70C11E4A5D8,lavo,NPS Coronavirus Response,https://www.nps.gov/lavo/planyourvisit/conditions.htm
Park Closure,"Following guidance from the CDC and recommendations from state and local public health in consultation with NPS Public Health Service officers, the Lewis and Clark National Historic Trail visitor center in Omaha, Nebraska is temporarily closed.",BE1BE057-9444-F3E6-4913E2664AE44392,lecl,"Lewis and Clark NHT visitor center in Omaha, Neb is temporarily closed as of 3/23/20.",
Information,We are working to increase access to the park in a phased approach. Limited access to Fort Clatsop and the Visitor Center.,5BA8A356-DD80-79C9-56381695C1196FB9,lewi,Phased reopening - some locations have limited access due to COVID-19,https://www.nps.gov/lewi/planyourvisit/conditions.htm
Information,"Little Bighorn Battlefield National Monument is open. The 4.5 driving tour road to Reno-Benteen, Custer National Cemetery and restrooms are open. However, the Visitor Center, Museum and bookstore is still closed.",87536A37-C432-9F68-7735ECA1BB4973B1,libi,Little Bighorn Battlefield National Monument Announcement.,
Park Closure,"Following guidance from the CDC and recommendations from state and local public health in consultation with NPS Public Health Service officers, the Memorial Visitor Center is temporarily closed. Updates will be posted to the park website and social media.",506AEDE8-0614-8FD1-F80BFEE0A0F24801,libo,"Memorial Visitor Center is temporarily closed as of March 18, 2020",https://www.nps.gov/libo/planyourvisit/conditions.htm
Park Closure,"Following guidance from CDC and recommendations from state and local public health authorities in consultation with NPS Public Health Service officers, the Lincoln Home, Visitor Center, Dean House, Arnold House are temporarily closed until further notice.",1A503E7F-EE4F-DBEC-A9153CA506CED453,liho,"Temporarily Publicly Accessible Buildings Closure Until Further Notice as of March 17, 2020",
Information,"The parking lot for Little Falls is now closed - parking is not permitted outside the closed gate, violators will be towed. Access to Little Falls can be had from the Little Falls Trail located at the paved Little River Falls parking lot on Highway 35",23D32859-AA7E-96BD-C0240019BDDD6223,liri,Little Falls Parking Area and Access Road Permanently CLOSED,
Park Closure,Canyon Mouth Park remains closed due to heavy flood damage incurred during the storm on Easter Sunday. Work is being done to clean up and repair damage - there is not an anticipated opening date at this time.,70F62762-FF84-F477-73B20DF32F34C10D,liri,Canyon Mouth Park CLOSED Due to Flood Damage,
Information,"Due to the high amount of weekend visitation, parking lots at the Little River Falls, Blue Hole, and the intersection of AL Highways 35 & 176 will close once they are full. Lots will reopen as spaces become available. Parking lots are full by 11 AM (CST).",71057D64-C21F-C55B-6E9598AA2BE2E760,liri,Weekend Parking Lot Closures - Park Staff Conducting Parking Control Measures,
Information,"Alabama Department of Transportation (ALDOT) is currently doing patches and repairs to AL Highway 176/Little River Canyon Rim Parkway. Expect delays, one-way controlled traffic, and possible detours.",7618DBA7-BF79-FC0C-94CC58D89D6329EF,liri,Alabama Department of Transportation Road Repairs on AL Highway 176/Little River Canyon Rim Parkway,
Information,El Servicio de parques nacionales esta modificando sus operaciones Respuesta del nuevo coronavirus de 2019 (COVID-19). Haz clic aquí para leer más.,EAFD1897-DE69-12F9-2D3D9BA71897661F,liri,2019 Novel Coronavirus (COVID-19) Respuesta,https://www.nps.gov/liri/planyourvisit/2019-novel-coronavirus-covid-19-respuesta.htm
Park Closure,"The Little River Canyon Center, and all park restrooms are closed until further notice as a safety precautionary measure to limit potential exposure to the COVID-19 virus. The Preserve lands, roads, and trails remain open at this time.",F427B231-9872-E6C6-F658229BC01422BC,liri,Little River Canyon Center and Restroom Facilities CLOSED Until Further Notice - COVID-19 Precaution,https://www.nps.gov/aboutus/news/public-health-update.htm
Park Closure,"Following guidance from the CDC and recommendations from state and local public health in consultation with NPS Public Health Service officers, Longfellow House is temporarily closed. The grounds remain open. Check back here for more information.",19FD63BE-EB82-C650-A4AE721E7C84C746,long,Longfellow House-Washington's Headquarters NHS is temporarily closed,https://www.nps.gov/long/planyourvisit/virtual-visits.htm
Park Closure,"Following guidance from the CDC and recommendations from state and local public health authorities in consultation with NPS Public Health Service Officers, Lowell NHP buildings are temporarily closed. Outdoor areas of the park remain open.",17EBAD0D-CA96-1ADE-027B07CFCD4CFD3D,lowe,Lowell National Historical Park Buildings Closed,
Park Closure,"The park is working to increase access in a phased approach. The LBJ Ranch Driving Tour, Johnson Settlement, and Boyhood Home Grounds are open effective May 23, 2020. Visitor Centers and other facilities remain temporarily closed. ",743E3705-E53D-0706-07F2BECD68E147F0,lyjo,Phased reopening – some locations closed due to COVID-19,https://www.nps.gov/lyjo/planyourvisit/conditions.htm
Caution,"Recent water tests were positive for Legionella bacteria at three park sites. There have been no confirmed cases of illness, and park staff are working with the NPS Office of Public Health and Centers for Disease Control (CDC), to address this finding.",5A92F069-A56F-CC98-2D9D4BE3F5C2F5E9,lyjo,Park to Conduct Water System Assessment After Tests Find Legionella Bacteria in Water,https://www.nps.gov/lyjo/learn/news/tests-find-legionella-bacteria.htm
Park Closure,A temporary closure of the Texas White House is still in place due to safety concerns arising from structural issues. The LBJ Ranch driving tour is not affected. Click the link for progress updates.,B9D671EB-ABA6-A21A-2DBB328B4CA14ABD,lyjo,Texas White House Closure,https://www.nps.gov/lyjo/texas-white-house-closure.htm
Park Closure,"We are working to increase access to the park in a phased approach. Park grounds and trails are open. The Carriage Barn Visitor Center, the Mansion and other historic buildings are temporarily closed. ",3277AD24-96C3-03AD-7F30BC3157649B2B,mabi,Phased reopening – some locations closed due to COVID-19 ,https://www.nps.gov/mabi/planyourvisit/conditions.htm
Information,"On Monday, June 1, the visitor center, self-guided tours, food/beverage opportunities and retail sales will reopen in the park.  On June 11, park campgrounds will reopen. For more details click here:  https://www.nps.gov/maca/planyourvisit/gocavetours.htm",1988300D-F7AB-0122-F4941A4A4655790F,maca,Increase in Recreational Access to the Visitor Center & Cave Tours,
Park Closure,The Green River Ferry will resume service once vessel approval is granted from the US Coast Guard. South ramp extension work will begin in late summer and another temporary closure will then be needed to complete the Ferry Crossing Improvement Projects.,8A53B508-BC08-702F-BDD636C0FEAB5C0B,maca,Green River Ferry Closure,https://www.nps.gov/maca/green-river-ferry-improvement-projects.htm
Caution,"Within the park, river users on Nolin River and Green River will encounter downed trees. Life jackets must to be worn at all times.",81958BC3-1DD8-B71B-0B59D70B6BE394B9,maca,Watch for river hazards – wear your life vest,
Park Closure,"Following guidance from the CDC and recommendations from public health authorities, the Martin Luther King, Jr. National Historical Park is temporarily closing its facilities effective March 17, 2020, until further notice.  Check back for updates.",FACE021E-99E8-C990-B5924FA9209B4C91,malu,"Martin Luther King, Jr. National Historical Park Temporarily Closed",https://www.nps.gov/malu/upload/MALU-COVID-19-Administrative-Order-April-13-2020-Signed.pdf
Park Closure,"Following guidance from the CDC and public health officials, Mary McLeod Bethune Council House National Historic Site is temporarily closed. Some National Capital Parks-East sites are open with modified operations. Click MORE for details.",82360196-D63C-CF73-C8521B4D58E2BFED,mamc,"Mary McLeod Bethune Council House NHS is temporarily closed as of March 17, 2020.",https://www.nps.gov/nace/planyourvisit/conditions.htm
Park Closure,"Following guidance from the CDC and recommendations from state and local public health in consultation with NPS Public Health Service officers, the Henry Hill Visitor Center and Brawner Farm Interpretive Center are temporarily closed.",1DD48263-BA03-1397-350DBAD868FA6196,mana,COVID-19 Update: Henry Hill Visitor Center and Brawner Farm Center Closed,
Park Closure,"Following guidance from the CDC and recommendations from state and local public health in consultation with NPS Public Health Service officers, all park restrooms are temporarily closed.",E507EF56-AC11-9717-3F8F4ECA5CB63760,mana,COVID-19 Update: Park Restrooms Closed,
Park Closure,"Following the guidance from the White House and the CDC, Manzanar National Historic Site Visitor Center and Block 14 exhibits are temporarily closed in response to the COVID-19 outbreak. The grounds and parking lots remain open sunrise to sunset.",270F393B-0497-64C2-9BC03FFA2AA050CA,manz,Manzanar Visitor Center and Block 14 Exhibits Closed Until Further Notice,https://www.nps.gov/manz/planyourvisit/conditions.htm
Park Closure,"Out of an abundance of caution, the visitor center is closed to the public until further notice.    Registration for public tours of park facilities has also been postponed. For tour information visit: https://manhattanprojectbreactor.hanford.gov/",606563AB-F58F-D1EC-3C0193ACE14747FC,mapr,Park Closure - Hanford Unit Visitor Center is Closed and Public Tours are Postponed,
Park Closure,In compliance with the directive from Los Alamos County to close frequently used public historic and recreational facilities in county buildings.,5FC232CF-9BCD-CA26-9F63E9E59ABFF978,mapr,Park Closure- Los Alamos Visitor Center is Closed Until Further Notice,
Park Closure,"To minimize spread of COVID-19, the visitor center will be closed until further notice. Visitor activities, including ranger-led programs are also suspended until further notice.",55F1B740-9FA9-6F06-553B2C498EE26CDA,mapr,Park Closure -  Oak Ridge Unit Visitor Center is Closed and Programs Suspended,
Information,Restroom facilities are not currently available at the park. Please take this into consideration when planning a visit and make alternate arrangements. Use of the grounds as a restroom is not permitted at any time.,3866505A-ABF8-B887-0441BEB74C216E64,mava,Restroom Facilities are Unavailable,
Park Closure,"Following guidance from the CDC and recommendations from state and local public health in consultation with NPS Public Health Service officers, facilities at Martin Van Buren National Historic Site are temporarily closed.",ED1A5ED2-9AE6-7D3F-513B9562392D4FCE,mava,Facilities at Martin Van Buren National Historic Site are temporarily closed as of 4/14/2020,https://www.nps.gov/mava/learn/news/modifying-operations-covid-19.htm
Park Closure,"As of March 17, 2020 Maggie L. Walker NHS is closed, in order to lessen the public health risk associated with the novel coronavirus (COVID-19). Visitor center closures will remain in effect  in coordination with national, state and local officials.",1CDFFA43-A6AC-3B82-0F3FEA5973A5E73D,mawa,Visitor Center Closure,https://www.nps.gov/mawa/planyourvisit/conditions.htm
Caution,"Due to continued hot and dry weather conditions, Mesa Verde will be moving into Extreme Fire Danger on Monday, June 22, 2020. Due to the increased fire danger, some hiking trails will be temporarily closed. Fire restrictions remain effect.",13E44A08-A8F4-90F9-506E8B6DCE37C991,meve,"Mesa Verde Will Be Moving Into Extreme Fire Danger on Monday, June 22",https://www.nps.gov/meve/learn/news/20-09_extfiredanger.htm
Park Closure,"Given the uncertainty of our ability to provide tours in a manner consistent with CDC guidelines for health and safety of visitors and staff, cliff dwellings are closed and tours are canceled until further notice. We will reevaluate as conditions change.",935E112D-BAF5-26F6-203258B5BC49E8E5,meve,Cliff Dwellings are Closed and Tours are Cancelled Until Further Notice,https://www.nps.gov/meve/planyourvisit/ops_updates_covid19.htm
Park Closure,"The park has reopened using a phased approach. Some areas are open on a self-guided basis, while other facilities and areas remain closed. Please check our operational page (or click on ""more"") for details.",F6EA6F2A-C461-3890-9C8C2F0395A427B3,meve,Phased Reopening of Mesa Verde National Park,https://www.nps.gov/meve/planyourvisit/ops_updates_covid19.htm
Park Closure,"Following guidance from the CDC and recommendations from state and local public health in consultation with NPS Public Health Service officers, the Minidoka National Historic Site Visitor Center is closed until further notice.",21EBA584-05D5-9009-BECA39A92EFA352A,miin,Minidoka National Historic Site Visitor Center is Closed,
Park Closure,"North Bridge, Meriam's Corner and Hartwell Tavern restrooms are open. Each restroom is one person or family occupancy only. Please lock the door when in use. Park grounds and trails are open for outdoor recreational use. Visitor Centers remain closed.",86B18897-B26F-2C99-AFD80A48C0B66421,mima,Current Conditions as of 6/16/2020,
Information,All Delta-01 Launch Control Facility Tours require advanced reservations. Reservations can be made up to 90 days in advance on-line or by phone at 605-717-7629. No SAME-DAY tours available during the summer season.,43855F62-1DD8-B71B-0BCC7A39A7CEA243,mimi,Delta-01 Tour Fee and Reservations,https://www.nps.gov/mimi/planyourvisit/launch-control-facility-delta-01-tours-and-tickets.htm
Caution,"Vehicle Navigation Systems and GPS units may provide inaccurate information—sending drivers the wrong way on one-way roads, leading them to dead ends in remote areas, or sending them on roads which are impassable. Use the Interstate exits for wayfinding.",61588951-1DD8-B71B-0BC276F083C97883,mimi,Warning about GPS Systems!,https://www.nps.gov/mimi/planyourvisit/directions.htm
Park Closure,Access to the park is being increased in a phased approach. The visitor center is temporarily closed.  Modified tours of the Delta-01 Launch Control Facility have resumed. Delta-09 is open daily.,965701EE-EB42-8E60-76B7A4F7CFEBC5A7,mimi,Phased reopening – some locations closed due to COVID-19 ,https://www.nps.gov/mimi/learn/news/nr20-05.htm
Park Closure,"As of May 25, 2020, the St. Anthony Falls Visitor Center is closed until further notice in accordance with CDC, state, and local public health guidance related to COVID-19.",81C662F5-FC78-4B5E-096383C86057637B,miss,St. Anthony Falls Visitor Center is Temporarily Closed,
Park Closure,"As of March 15, 2020, the Mississippi River Visitor Center is closed until further notice in accordance with CDC, state, and local public health guidance related to COVID-19.  For updates, visit www.nps.gov/coronavirus",F026F641-FAD2-136B-74CE1D517904672D,miss,Mississippi River Visitor Center is Temporarily Closed,http://www.nps.gov/coronavirus
Park Closure,"As of April 8, 2020, Park Headquarters and its Visitor Contact Station are closed until further notice. Park property including Bow Creek, Goat Island and Green Island Recreation Areas and Mulberry Bend Overlook will remain open.",8DC9A74F-D480-5116-D99BBC6EE301B678,mnrr,"Park Headquarters and Visitor Contact Station Closed as of April 8, 2020.",https://www.nps.gov/mnrr/learn/news/covid-19.htm
Information,"Beginning Friday, June 5th, 2020, outdoor spaces like trails and picnic tables will be open.  The restrooms, museum, and visitor center will be closed.  Montezuma Well will remain closed.",0DCA264A-AC43-5847-F91C0CC2FED707CF,moca,Phased Reopening Will Include Limited Services,
Information,"Before hiking at Moores Creek, make sure to bring all your necessary medications, sunscreen, bottled water for hikes, loose fitting clothes for hiking, and any other items you may need.",5FA01874-A698-F4B1-A349E8F0B0749462,mocr,Be Prepared for your Visit,
Park Closure,"To minimize potential spread of the coronavirus disease (COVID-19), consistent with federal, state, and local advisories, park facilities, including the Visitor Center and Restrooms, are closed to public access; park trails and picnic areas are open.",5BFB429C-0C37-573C-40C181879CE6370A,mocr,Park Facilities Closed Until Further Notice; Park Trails Remain Open for Public Use,
Caution,"The waters of Moores Creek are up again.. As a result some portions of the History Trail, including the causeway from Moores Creek Bridge to the History Trail are closed. Stay tuned to these alerts for more updates.",F77CC2ED-C43F-867E-9CD43CA88DB37E0D,mocr,Update on Park Conditions,
Park Closure,"Due to the shelter in place order, all visitor centers, campgrounds, pit toilets, the Lava Tube and the Zzyzx area are currently closed.  Please plan ahead and travel safely.  Emergency response times may be much longer than usual.",85911B55-FEC9-89C5-72D322BD3747D6AC,moja,Current Status of Operations at Mojave National Preserve,
Park Closure,The bridge on MD-355 over the CSX rail line is being replaced.  Tour Stop #2 - the 14th New Jersey Monument and the Junction Parking Area will be closed for the duration of the project.  The project is projected to be completed by Fall 2020.,7E1B377B-1DD8-B71B-0B4337EBA346AC43,mono,Closed - Tour Stop #2 (14th New Jersey Monument) and the Junction Parking Area,
Park Closure,"On Monday, March 30, the boardwalk portion of the Gambrill Mill trail will close to allow for construction of a new boardwalk. The grass portion of the trail that provides access to the river remains open.",75C6F12D-96C3-1B04-E95FFC2A3E6363BA,mono,Gambrill Mill Boardwalk Closure,https://www.nps.gov/mono/planyourvisit/gambrill-mill-boardwalk-construction.htm
Park Closure,"Park areas and trails still remain open at this time. Following guidance from the CDC and recommendations from state and local public health in consultation with NPS Public Health Service officers, the Visitor Center is temporarily closed.",1E06A3B6-9759-7685-3DFC59FF1CF92A98,mono,"Monocacy National Battlefield Visitor Center is temporarily closed as of 5:00pm on March 17, 2020",https://www.nps.gov/mono/learn/management/covid-19-closure-administrative-order.htm
Information,"Starting March 26, the battlefield parking areas and trails will be open from 8 am to 20 minutes after sunset.",E5E93ED5-B5DA-382B-E9FF36E1AF72F705,mono,Temporary Change in Battlefield Hours of Operation,
Park Closure,"Following guidance from the CDC and state, local, and NPS public health officers, as of June 22 park visitor centers & Paradise Inn remain closed. Roads normally open this time of the year have re-opened, along with associated trailheads and restrooms.",EE66087D-BC6D-0CCC-01197864A16657D4,mora,Park Lands & Most Roads Accessible - Facilities Remain Temporary Closed,https://www.nps.gov/mora/planyourvisit/conditions.htm
Park Closure,We are working to increase access to the park in a phased approach. Jockey Hollow & NJ Brigade grounds and trails are open. Access to Jockey Hollow is thru Tempe Wick Rd entrance. Ft. Nonsense Area and all buildings and restroom facilities remain closed.,1D488CC0-BBAA-516A-1CD6B99921188C9B,morr, Phased reopening – Some locations closed due to COVID-19,
Information,"The Evening Lighting Ceremonies will begin on Monday, June 1, 2020, at 9:00 p.m.",02DBF2B0-0C98-0C9F-DCEB23863FE98BD2,moru,2020 Evening Lighting Ceremonies,https://www.nps.gov/moru/planyourvisit/evening-lighting-ceremony.htm
Information,"Due to the opportunity to address deferred maintenance projects, the Lincoln Borglum Visitor Center, amphitheater, Avenue of Flags and a short section of the Presidential Trail are not available during early 2020.",031F10E8-B0B8-FDAC-F5CEEBBF1BA58886,moru,Deferred Maintenance Projects During 2020.,https://www.nps.gov/moru/planyourvisit/deferred-maintenance-project-information.htm
Information,"While the visitor center is unavailable during construction, you are still able to view Mount Rushmore from many areas throughout the memorial.",68D1CD79-9FC8-DD6B-76118A524AE201C7,moru,Viewing Mount Rushmore Still Possible During Construction Project,
Information,The Nature Trail and the Presidential Trail are open to the base of the mountain. The walk is about 1 mile round trip with 706 stairs.,97C3FD2E-B1C7-C3A5-02AC3D3A557E484C,moru,Nature Trail and Presidential Trail Are Open,
Park Closure,We are working to increase access to the park in a phased approach.,B5E1895D-D410-5868-7F0686F3572A532F,moru,Phased reopening – some facilities closed due to COVID-19,https://www.nps.gov/moru/planyourvisit/conditions.htm
Information,"Due to construction at Muir Woods, your parking space may be up to a quarter mile walk from the entrance to Muir Woods. Please plan accordingly, and thank you for your patience as the National Park Service works to improve the visitor experience.",B71A57B8-E2AD-87B2-F005268883107C3C,muwo,Construction,
Park Closure,"For public safety, parking areas and visitor facilities managed by the NPS, including Muir Woods, are temporarily closed until further notice.",9AE96150-C448-604D-053A210BFFA75069,muwo,Temporary facilities closure advisory,https://www.nps.gov/goga/planyourvisit/temporary-facilities-closure-advisory.htm
Information,Muir Woods entrance road one-lane through June for Redwood Renewal waterline project. Lane closure on Muir Woods Road will occur west from park entrance.,65B1CBFC-CD48-478A-6E2C183FC53ACA7B,muwo,Muir Woods Road Work,
Information,Reservations are now required for all personal vehicles and shuttle riders at Muir Woods. You can make your reservation by visiting www.gomuirwoods.com.,3160D117-1DD8-B71B-0BFACB04EBA6DBEB,muwo,Parking Reservations Required,
Information,"We do not recommend taking a rideshare or taxi to Muir Woods. There is NO cell service or wifi at Muir Woods. When hiring a taxi visitors have the option of negotiating a flat rate, or using the meter. Under some circumstances a flat rate may be cheaper.",ECD541BA-1DD8-B71B-0B8412CD26615E0A,muwo,No Cell Service or WiFi,
Park Closure,"We are working to increase access to the park in a phased approach. As of May 14, Natural Bridges' roads, trails, and restrooms are open. The visitor center and campground remain closed until further notice.",24D9BA10-C00E-1871-D779DC53A277996D,nabr,Phased reopening - some locations remain closed due to COVID-19,https://www.nps.gov/nabr/planyourvisit/conditions.htm
Park Closure,"Following guidance from the CDC and public health officials, some National Capital Parks-East sites are open to walk in visitation. Playgrounds, restrooms, and other facilities remain temporarily closed. Please visit safely. Click MORE for details.",525EF89B-A80A-9A0C-28A3924785EA7863,nace,National Capital Parks-East Operations Modified as Part of COVID 19 Response,https://www.nps.gov/nace/planyourvisit/conditions.htm
Park Closure,"Following guidance from the CDC and public health officials, the National Mall has implemented temporary operational changes and site closures in response to the COVID-19 outbreak. Click on MORE for specific details.",5FB82681-9602-EE8B-827BC3CCAF0E1370,nama,National Mall modifies operations and temporarily closes sites as part of COVID-19 response,http://www.nps.gov/nama/planyourvisit/temporary-facilities-closure-advisory.htm
Park Closure,"We are working to increase access in a phased approach. Parkway Visitor Center and restrooms (mp 266) are open with limitations. All Colbert Ferry comfort stations are open. Most restrooms, contact stations, and Meriwether Lewis Campground remain closed.",7F2EECC1-BB29-579E-896CDB6C0054E08F,natr,Phased reopening - some locations closed due to COVID-19,https://www.nps.gov/natr/planyourvisit/conditions.htm
